tube,top,bottom,length,Na (ppb),NH4 (ppb),K (ppb),Mg (ppb),Ca (ppb),Cl (ppb),NO3 (ppb),SO4 (ppb)
2,15.23684211,15.26315789,0.026315789,0,0,0,0,0,104.73,56.48,0
2,15.26315789,15.28947368,0.026315789,0,0,0,0,0,92.52,49.05,0
2,15.28947368,15.31578947,0.026315789,0,0,0,0,0,21.59,53.85,0
2,15.31578947,15.34210526,0.026315789,0,0,0,0,0,109.84,89.48,0
2,15.34210526,15.36842105,0.026315789,0,0,0,0,0,83.2,56.4,0
2,15.36842105,15.39473684,0.026315789,0,0,0,0,0,179.1,47.94,0
2,15.39473684,15.42105263,0.026315789,0,0,0,0,0,228.98,52.83,0
2,15.42105263,15.44736842,0.026315789,0,0,0,0,0,219.15,53.6,0
2,15.44736842,15.47368421,0.026315789,0,0,0,0,0,257.85,54.08,0
2,15.47368421,15.5,0.026315789,0,0,0,0,0,162.99,59.47,0
2,15.5,15.52631579,0.026315789,0,0,0,0,0,89.27,53.41,0
2,15.52631579,15.55263158,0.026315789,0,0,0,0,0,88.62,37.66,0
2,15.55263158,15.57894737,0.026315789,0,0,0,0,0,75.17,25.6,0
2,15.57894737,15.60526316,0.026315789,0,0,0,0,0,72.38,32.07,0
2,15.60526316,15.63157895,0.026315789,0,0,0,0,0,107.2,37.55,0
2,15.63157895,15.65789474,0.026315789,0,0,0,0,0,171.04,39.36,0
2,15.65789474,15.68421053,0.026315789,0,0,0,0,0,190.19,44.25,0
2,15.68421053,15.71052632,0.026315789,0,0,0,0,0,80.38,74.14,0
2,15.71052632,15.73684211,0.026315789,0,0,0,0,0,94.24,65.47,0
2,15.73684211,15.76315789,0.026315789,0,0,0,0,0,157.73,55.9,0
2,15.76315789,15.78947368,0.026315789,0,0,0,0,0,88.59,48.65,0
2,15.78947368,15.81578947,0.026315789,0,0,0,0,0,160.46,31.7,0
2,15.81578947,15.84210526,0.026315789,0,0,0,0,0,119.44,30.53,0
